ano,senioridade,contrato,cargo,salario,moeda,usd,residencia,remoto,empresa,tamanho_empresa,residencia_iso3
2025,Senior,Tempo Integral,Solutions Engineer,214000.0,USD,214000.0,US,Remoto,US,Média,USA
2025,Senior,Tempo Integral,Solutions Engineer,136000.0,USD,136000.0,US,Remoto,US,Média,USA
2025,Pleno,Tempo Integral,Data Engineer,158800.0,USD,158800.0,AU,Presencial,AU,Média,AUS
2025,Pleno,Tempo Integral,Data Engineer,139200.0,USD,139200.0,AU,Presencial,AU,Média,AUS
2025,Junior,Tempo Integral,Data Engineer,90000.0,USD,90000.0,US,Presencial,US,Média,USA
2025,Junior,Tempo Integral,Data Engineer,80000.0,USD,80000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Data Scientist,185000.0,USD,185000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Data Scientist,148000.0,USD,148000.0,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Data Scientist,135000.0,USD,135000.0,CA,Presencial,CA,Média,CAN
2025,Pleno,Tempo Integral,Data Scientist,108000.0,USD,108000.0,CA,Presencial,CA,Média,CAN
2025,Pleno,Tempo Integral,BI Developer,118000.0,USD,118000.0,US,Remoto,US,Média,USA
2025,Pleno,Tempo Integral,BI Developer,51000.0,USD,51000.0,US,Remoto,US,Média,USA
2025,Junior,Tempo Integral,Data Analyst,91900.0,USD,91900.0,US,Presencial,US,Média,USA
2025,Junior,Tempo Integral,Data Analyst,54300.0,USD,54300.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Applied Scientist,255000.0,USD,255000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Applied Scientist,190000.0,USD,190000.0,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Systems Engineer,196350.0,USD,196350.0,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Systems Engineer,130900.0,USD,130900.0,US,Presencial,US,Média,USA
2025,Executivo,Tempo Integral,Director,170000.0,USD,170000.0,US,Presencial,US,Média,USA
2025,Executivo,Tempo Integral,Director,160000.0,USD,160000.0,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Associate,119000.0,USD,119000.0,CA,Presencial,CA,Média,CAN
2025,Pleno,Tempo Integral,Associate,105000.0,USD,105000.0,CA,Presencial,CA,Média,CAN
2025,Pleno,Tempo Integral,Associate,120000.0,USD,120000.0,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Associate,110000.0,USD,110000.0,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Associate,120000.0,USD,120000.0,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Associate,110000.0,USD,110000.0,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Associate,120000.0,USD,120000.0,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Associate,110000.0,USD,110000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Software Engineer,190000.0,USD,190000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Software Engineer,150000.0,USD,150000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Consultant,180000.0,USD,180000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Consultant,130000.0,USD,130000.0,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Software Engineer,98348.0,USD,98348.0,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Software Engineer,88651.0,USD,88651.0,US,Presencial,US,Média,USA
2025,Junior,Tempo Integral,Analyst,122058.0,USD,122058.0,AU,Presencial,AU,Média,AUS
2025,Junior,Tempo Integral,Analyst,110266.0,USD,110266.0,AU,Presencial,AU,Média,AUS
2025,Senior,Tempo Integral,Product Manager,160000.0,USD,160000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Product Manager,100000.0,USD,100000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Software Developer,199100.0,USD,199100.0,JP,Presencial,JP,Média,JPN
2025,Senior,Tempo Integral,Software Developer,94800.0,USD,94800.0,JP,Presencial,JP,Média,JPN
2025,Senior,Tempo Integral,Engineer,170000.0,USD,170000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Engineer,130000.0,USD,130000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Developer,150000.0,USD,150000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Developer,114000.0,USD,114000.0,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Data Engineer,54785.0,GBP,69348.0,GB,Presencial,GB,Média,GBR
2025,Pleno,Tempo Integral,Data Engineer,42180.0,GBP,53392.0,GB,Presencial,GB,Média,GBR
2025,Senior,Tempo Integral,Data Engineer,104000.0,USD,104000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Data Engineer,72800.0,USD,72800.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Data Analyst,55114.0,GBP,69764.0,GB,Presencial,GB,Média,GBR
2025,Senior,Tempo Integral,Data Analyst,40736.0,GBP,51564.0,GB,Presencial,GB,Média,GBR
2025,Junior,Tempo Integral,Data Analyst,324000.0,MXN,15890.0,MX,Presencial,MX,Média,MEX
2025,Junior,Tempo Integral,Data Analyst,122870.0,USD,122870.0,US,Presencial,US,Média,USA
2025,Junior,Tempo Integral,Data Analyst,94945.0,USD,94945.0,US,Presencial,US,Média,USA
2025,Junior,Contrato,Data Analyst,74000.0,USD,74000.0,US,Presencial,US,Média,USA
2025,Junior,Contrato,Data Analyst,70000.0,USD,70000.0,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Consultant,72000.0,EUR,75789.0,NL,Presencial,NL,Média,NLD
2025,Pleno,Tempo Integral,Consultant,36000.0,EUR,37894.0,NL,Presencial,NL,Média,NLD
2025,Pleno,Tempo Integral,Data Specialist,32000.0,EUR,33684.0,ES,Presencial,ES,Média,ESP
2025,Pleno,Tempo Integral,Data Specialist,28000.0,EUR,29473.0,ES,Presencial,ES,Média,ESP
2025,Senior,Tempo Integral,Manager,160380.0,USD,160380.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Manager,123930.0,USD,123930.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Solutions Engineer,170000.0,USD,170000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Solutions Engineer,110000.0,USD,110000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Solutions Engineer,170000.0,USD,170000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Solutions Engineer,110000.0,USD,110000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Data Scientist,258000.0,USD,258000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Data Scientist,119800.0,USD,119800.0,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Manager,149800.0,USD,149800.0,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Manager,90210.0,USD,90210.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Manager,222600.0,USD,222600.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Manager,106400.0,USD,106400.0,US,Presencial,US,Média,USA
2025,Pleno,Contrato,Software Engineer,162000.0,USD,162000.0,US,Presencial,US,Média,USA
2025,Pleno,Contrato,Software Engineer,140000.0,USD,140000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Data Scientist,175074.0,USD,175074.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Data Scientist,79560.0,USD,79560.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Software Developer,223400.0,USD,223400.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Software Developer,96800.0,USD,96800.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Research Scientist,202000.0,USD,202000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Research Scientist,146000.0,USD,146000.0,US,Presencial,US,Média,USA
2025,Junior,Meio Período,Analyst,130514.0,USD,130514.0,AU,Presencial,AU,Média,AUS
2025,Junior,Meio Período,Analyst,115240.0,USD,115240.0,AU,Presencial,AU,Média,AUS
2025,Senior,Tempo Integral,Software Engineer,160000.0,USD,160000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Software Engineer,130000.0,USD,130000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Software Architect,233450.0,USD,233450.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Software Architect,141950.0,USD,141950.0,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Associate,100000.0,USD,100000.0,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Associate,61000.0,USD,61000.0,US,Presencial,US,Média,USA
2025,Junior,Tempo Integral,Data Management Analyst,73116.0,USD,73116.0,US,Presencial,US,Média,USA
2025,Junior,Tempo Integral,Data Management Analyst,73116.0,USD,73116.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Research Scientist,175392.0,USD,175392.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Research Scientist,122774.0,USD,122774.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Engineer,150000.0,USD,150000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Engineer,130000.0,USD,130000.0,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Data Engineer,124000.0,USD,124000.0,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Data Engineer,77000.0,USD,77000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Data Analyst,120000.0,USD,120000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Data Analyst,90000.0,USD,90000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Data Analyst,122000.0,USD,122000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Data Analyst,78000.0,USD,78000.0,US,Presencial,US,Média,USA
2025,Junior,Tempo Integral,Data Analyst,110000.0,USD,110000.0,US,Presencial,US,Média,USA
2025,Junior,Tempo Integral,Data Analyst,70000.0,USD,70000.0,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Data Reporter,70000.0,USD,70000.0,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Data Reporter,60000.0,USD,60000.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Computational Biologist,124200.0,USD,124200.0,US,Presencial,US,Média,USA
2025,Senior,Tempo Integral,Computational Biologist,77000.0,USD,77000.0,US,Presencial,US,Média,USA
